"pathway","p_raw","FDR_12","FDR_24"
"pw_4",0.000994811742326055,0.0119377409079127,0.0238754818158253
"pw_2",0.0529365336975862,0.222659611287338,0.445319222574677
"pw_1",0.0847533092403693,0.222659611287338,0.445319222574677
"pw_8",0.100787004865428,0.222659611287338,0.445319222574677
"pw_13",0.111507561871256,0.222659611287338,0.445319222574677
"pw_12",0.13261335942448,0.222659611287338,0.445319222574677
"pw_16",0.133163310157955,0.222659611287338,0.445319222574677
"pw_15",0.148439740858226,0.222659611287338,0.445319222574677
"pw_3",0.175805245798802,0.234406994398403,0.468813988796806
"pw_5",0.352155348218645,0.422586417862374,0.845172835724748
"pw_22",0.773144143983802,0.80015510200871,1
"pw_14",0.80015510200871,0.80015510200871,1
