"pathway","R2_cv","perm_p_raw","perm_p_fdr"
"pw_2",0.208645214291279,0.006,0.096
"pw_4",0.185431273385238,0.008,0.096
"pw_22",0.132818766181232,0.013,0.104
"pw_1",-0.135282192753868,1,1
"pw_3",-0.0343418588778666,1,1
"pw_5",-0.113259756072522,1,1
"pw_6",-0.199028328312573,1,1
"pw_7",-0.209661298639952,1,1
"pw_8",-0.0754458161865568,1,1
"pw_9",-0.075445816186557,1,1
"pw_10",-0.0754458161865568,1,1
"pw_11",-0.0754458161865568,1,1
"pw_12",-0.0754458161865568,1,1
"pw_13",-0.108786334363928,1,1
"pw_14",-0.075445816186557,1,1
"pw_15",-0.00417067224691614,1,1
"pw_16",-0.145606765072784,1,1
"pw_17",-0.075445816186557,1,1
"pw_18",-0.086301937025671,1,1
"pw_19",-0.0754458161865568,1,1
"pw_20",-0.0754458161865568,1,1
"pw_21",-0.274012916874157,1,1
"pw_23",-0.0716785736371033,1,1
"pw_24",-0.113757153782383,1,1
